Postnummer;Postort;Kontor;Kontorsfîrkortning;Country;Kontorfrk
79175;FALUN;BORLéNGE;BLE;Sweden;BLE
79176;FALUN;BORLéNGE;BLE;Sweden;BLE
79177;FALUN;BORLéNGE;BLE;Sweden;BLE
79191;FALUN;BORLéNGE;BLE;Sweden;BLE
79192;FALUN;BORLéNGE;BLE;Sweden;BLE
79193;FALUN;BORLéNGE;BLE;Sweden;BLE
79194;FALUN;BORLéNGE;BLE;Sweden;BLE
79195;FALUN;BORLéNGE;BLE;Sweden;BLE
79196;FALUN;BORLéNGE;BLE;Sweden;BLE
79230;MORA;BORLéNGE;BLE;Sweden;BLE
79231;MORA;BORLéNGE;BLE;Sweden;BLE
79232;MORA;BORLéNGE;BLE;Sweden;BLE
79233;MORA;BORLéNGE;BLE;Sweden;BLE
79234;MORA;BORLéNGE;BLE;Sweden;BLE
79235;MORA;BORLéNGE;BLE;Sweden;BLE
79236;MORA;BORLéNGE;BLE;Sweden;BLE
79237;MORA;BORLéNGE;BLE;Sweden;BLE
79250;MORA;BORLéNGE;BLE;Sweden;BLE
79251;MORA;BORLéNGE;BLE;Sweden;BLE
79252;MORA;BORLéNGE;BLE;Sweden;BLE
79275;FéRNéS;BORLéNGE;BLE;Sweden;BLE
79277;NUSNéS;BORLéNGE;BLE;Sweden;BLE
79290;SOLLERôN;BORLéNGE;BLE;Sweden;BLE
79291;MORA;BORLéNGE;BLE;Sweden;BLE
79292;MORA;BORLéNGE;BLE;Sweden;BLE
79293;VENJAN;BORLéNGE;BLE;Sweden;BLE
79294;MORA;BORLéNGE;BLE;Sweden;BLE
79295;MORA;BORLéNGE;BLE;Sweden;BLE
79296;VèMHUS;BORLéNGE;BLE;Sweden;BLE
79297;MORA;BORLéNGE;BLE;Sweden;BLE
79298;GARSèS;BORLéNGE;BLE;Sweden;BLE
79330;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79331;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79332;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79333;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79335;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79336;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79340;INSJôN;BORLéNGE;BLE;Sweden;BLE
79341;INSJôN;BORLéNGE;BLE;Sweden;BLE
79350;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79360;SILJANSNéS;BORLéNGE;BLE;Sweden;BLE
79370;TéLLBERG;BORLéNGE;BLE;Sweden;BLE
79390;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79391;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79392;LEKSAND;BORLéNGE;BLE;Sweden;BLE
79393;DJURA;BORLéNGE;BLE;Sweden;BLE
79394;TéLLBERG;BORLéNGE;BLE;Sweden;BLE
79397;SILJANSNéS;BORLéNGE;BLE;Sweden;BLE
79430;ORSA;BORLéNGE;BLE;Sweden;BLE
79431;ORSA;BORLéNGE;BLE;Sweden;BLE
79432;ORSA;BORLéNGE;BLE;Sweden;BLE
79433;ORSA;BORLéNGE;BLE;Sweden;BLE
79434;ORSA;BORLéNGE;BLE;Sweden;BLE
79490;ORSA;BORLéNGE;BLE;Sweden;BLE
79491;ORSA;BORLéNGE;BLE;Sweden;BLE
79492;ORSA;BORLéNGE;BLE;Sweden;BLE
79493;ORSA;BORLéNGE;BLE;Sweden;BLE
79495;SKATTUNGBYN;BORLéNGE;BLE;Sweden;BLE
79498;ORSA;BORLéNGE;BLE;Sweden;BLE
79530;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79531;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79532;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79533;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79535;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79536;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79570;VIKARBYN;BORLéNGE;BLE;Sweden;BLE
79590;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79591;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79592;RéTTVIK;BORLéNGE;BLE;Sweden;BLE
79595;VIKARBYN;BORLéNGE;BLE;Sweden;BLE
79596;BODA KYRKBY;BORLéNGE;BLE;Sweden;BLE
79630;éLVDALEN;BORLéNGE;BLE;Sweden;BLE
79631;éLVDALEN;BORLéNGE;BLE;Sweden;BLE
79690;éLVDALEN;BORLéNGE;BLE;Sweden;BLE
79691;éLVDALEN;BORLéNGE;BLE;Sweden;BLE
79699;éLVDALEN;BORLéNGE;BLE;Sweden;BLE
31163;éLVSERED;BORèS;BSZ;Sweden;BSZ
43851;RéVLANDA;BORèS;BSZ;Sweden;BSZ
43852;RéVLANDA;BORèS;BSZ;Sweden;BSZ
43897;RéVLANDA;BORèS;BSZ;Sweden;BSZ
44730;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44731;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44732;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44733;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44734;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44735;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44737;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44791;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44792;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44793;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44794;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
44795;VèRGèRDA;BORèS;BSZ;Sweden;BSZ
50330;BORèS;BORèS;BSZ;Sweden;BSZ
50331;BORèS;BORèS;BSZ;Sweden;BSZ
50332;BORèS;BORèS;BSZ;Sweden;BSZ
50333;BORèS;BORèS;BSZ;Sweden;BSZ
50334;BORèS;BORèS;BSZ;Sweden;BSZ
50335;BORèS;BORèS;BSZ;Sweden;BSZ
50336;BORèS;BORèS;BSZ;Sweden;BSZ
50337;BORèS;BORèS;BSZ;Sweden;BSZ
50338;BORèS;BORèS;BSZ;Sweden;BSZ
50342;BORèS;BORèS;BSZ;Sweden;BSZ
50343;BORèS;BORèS;BSZ;Sweden;BSZ
50430;BORèS;BORèS;BSZ;Sweden;BSZ
50431;BORèS;BORèS;BSZ;Sweden;BSZ
50432;BORèS;BORèS;BSZ;Sweden;BSZ
50433;BORèS;BORèS;BSZ;Sweden;BSZ
50434;BORèS;BORèS;BSZ;Sweden;BSZ
50435;BORèS;BORèS;BSZ;Sweden;BSZ
50437;BORèS;BORèS;BSZ;Sweden;BSZ
50438;BORèS;BORèS;BSZ;Sweden;BSZ
50439;BORèS;BORèS;BSZ;Sweden;BSZ
50441;BORèS;BORèS;BSZ;Sweden;BSZ
50442;BORèS;BORèS;BSZ;Sweden;BSZ
50443;BORèS;BORèS;BSZ;Sweden;BSZ
50444;BORèS;BORèS;BSZ;Sweden;BSZ
50445;BORèS;BORèS;BSZ;Sweden;BSZ
50446;BORèS;BORèS;BSZ;Sweden;BSZ
50447;BORèS;BORèS;BSZ;Sweden;BSZ
50450;BORèS;BORèS;BSZ;Sweden;BSZ
50451;BORèS;BORèS;BSZ;Sweden;BSZ
50452;BORèS;BORèS;BSZ;Sweden;BSZ
50453;BORèS;BORèS;BSZ;Sweden;BSZ
50454;BORèS;BORèS;BSZ;Sweden;BSZ
50455;BORèS;BORèS;BSZ;Sweden;BSZ
50456;BORèS;BORèS;BSZ;Sweden;BSZ
